PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,PrecipitableWater,RelativeHumidity,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2022-02-28T02:00:00Z,2022-02-28T01:00:00Z,PT60M,18.7,-113,39.8,14.3,240,0,0,240,30.1,75.3,1016.5,153,2.2,61,0.14
2022-02-28T03:00:00Z,2022-02-28T02:00:00Z,PT60M,20.5,-123,29.4,14.6,381,75,54,435,30.9,68.9,1016.7,162,2.7,49,0.14
2022-02-28T04:00:00Z,2022-02-28T03:00:00Z,PT60M,22.1,-138,0.1,14.7,270,620,485,754,31.5,63.1,1016.2,167,3.2,39,0.14
2022-02-28T05:00:00Z,2022-02-28T04:00:00Z,PT60M,23.5,-161,0.8,14.8,297,629,537,834,31.9,58.2,1015.2,167,3.5,31,0.14
2022-02-28T06:00:00Z,2022-02-28T05:00:00Z,PT60M,24.7,170,13.1,14.9,465,319,275,740,32.2,54.4,1013.9,163,3.7,30,0.14
2022-02-28T07:00:00Z,2022-02-28T06:00:00Z,PT60M,25.7,145,19.4,15.0,454,209,173,627,32.3,51.5,1012.5,159,3.8,36,0.14
2022-02-28T08:00:00Z,2022-02-28T07:00:00Z,PT60M,26.5,127,13.0,15.1,379,253,178,556,32.4,49.4,1011.3,156,4.0,46,0.14
2022-02-28T09:00:00Z,2022-02-28T08:00:00Z,PT60M,26.7,116,23.0,15.2,293,101,61,355,32.8,49.3,1010.6,151,4.5,57,0.14
2022-02-28T10:00:00Z,2022-02-28T09:00:00Z,PT60M,26.1,108,45.1,15.7,135,0,0,135,34.3,52.7,1010.5,144,5.2,70,0.14
2022-02-28T11:00:00Z,2022-02-28T10:00:00Z,PT60M,24.4,102,70.2,16.1,17,0,0,17,36.5,60.0,1010.8,139,5.7,84,0.14
2022-02-28T12:00:00Z,2022-02-28T11:00:00Z,PT60M,22.3,96,90.0,16.1,0,0,0,0,37.7,68.0,1011.6,140,5.6,98,0.14
2022-02-28T13:00:00Z,2022-02-28T12:00:00Z,PT60M,21.0,91,75.2,16.1,0,0,0,0,38.1,73.6,1012.8,143,5.3,112,0.14
2022-02-28T14:00:00Z,2022-02-28T13:00:00Z,PT60M,20.2,85,68.3,16.3,0,0,0,0,38.1,78.3,1013.8,142,4.9,126,0.14
2022-02-28T15:00:00Z,2022-02-28T14:00:00Z,PT60M,19.6,78,64.8,16.5,0,0,0,0,37.8,82.5,1014.4,141,4.4,140,0.14
2022-02-28T16:00:00Z,2022-02-28T15:00:00Z,PT60M,19.2,65,56.6,16.7,0,0,0,0,37.6,85.7,1014.5,139,3.8,153,0.14
2022-02-28T17:00:00Z,2022-02-28T16:00:00Z,PT60M,18.9,36,57.4,16.9,0,0,0,0,37.6,88.1,1014.5,134,3.3,164,0.14
2022-02-28T18:00:00Z,2022-02-28T17:00:00Z,PT60M,18.6,-21,59.0,16.9,0,0,0,0,37.4,89.9,1014.2,125,2.8,166,0.14
2022-02-28T19:00:00Z,2022-02-28T18:00:00Z,PT60M,18.3,-59,67.8,16.9,0,0,0,0,37.0,91.6,1013.8,119,2.5,157,0.14
2022-02-28T20:00:00Z,2022-02-28T19:00:00Z,PT60M,18.3,-75,71.0,17.0,0,0,0,0,36.8,92.6,1013.5,118,2.2,144,0.14
2022-02-28T21:00:00Z,2022-02-28T20:00:00Z,PT60M,18.5,-83,63.0,17.2,0,0,0,0,36.8,92.2,1013.3,121,2.0,130,0.14
2022-02-28T22:00:00Z,2022-02-28T21:00:00Z,PT60M,18.7,-89,38.1,17.3,0,0,0,0,36.9,92.0,1013.5,128,1.9,116,0.14
2022-02-28T23:00:00Z,2022-02-28T22:00:00Z,PT60M,18.7,-94,36.9,17.4,0,0,0,0,37.0,92.0,1014.1,131,1.8,102,0.14
2022-03-01T00:00:00Z,2022-02-28T23:00:00Z,PT60M,18.9,-100,38.2,17.6,12,0,0,12,37.1,92.0,1014.8,122,1.5,88,0.14
2022-03-01T01:00:00Z,2022-03-01T00:00:00Z,PT60M,19.3,-106,58.6,17.9,74,0,0,74,37.3,91.3,1015.6,111,1.3,74,0.14
2022-03-01T02:00:00Z,2022-03-01T01:00:00Z,PT60M,19.8,-113,72.9,18.0,108,0,0,108,37.2,89.1,1016.4,105,1.1,61,0.14
