PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2019-12-31T02:00:00Z,2019-12-31T01:00:00Z,PT60M,21.4,-128,84.8,15.7,41,0,0,41,40,41,32.9,69.8,0.0,1023.4,6,3.0,67,0.15
2019-12-31T03:00:00Z,2019-12-31T02:00:00Z,PT60M,21.7,-139,70.1,15.4,134,0,0,134,131,134,32.3,67.4,0.0,1024.0,10,3.6,57,0.15
2019-12-31T04:00:00Z,2019-12-31T03:00:00Z,PT60M,22.5,-153,76.5,15.2,134,0,0,134,131,134,32.0,63.6,0.0,1023.9,11,4.1,49,0.15
2019-12-31T05:00:00Z,2019-12-31T04:00:00Z,PT60M,23.3,-171,75.9,15.0,155,0,0,155,151,155,32.6,59.5,0.0,1023.1,12,4.2,45,0.15
2019-12-31T06:00:00Z,2019-12-31T05:00:00Z,PT60M,23.4,170,77.5,14.6,144,0,0,144,140,144,33.4,58.0,0.0,1022.0,11,3.8,45,0.15
2019-12-31T07:00:00Z,2019-12-31T06:00:00Z,PT60M,23.1,152,66.7,14.4,190,0,0,190,185,190,34.2,58.0,0.0,1021.2,12,3.3,50,0.15
2019-12-31T08:00:00Z,2019-12-31T07:00:00Z,PT60M,23.0,138,75.9,14.4,109,0,0,109,106,109,35.0,58.5,0.0,1020.7,18,2.9,58,0.15
2019-12-31T09:00:00Z,2019-12-31T08:00:00Z,PT60M,22.5,128,61.6,14.5,99,0,0,99,97,99,35.4,60.5,0.0,1020.2,24,2.2,68,0.15
2019-12-31T10:00:00Z,2019-12-31T09:00:00Z,PT60M,21.9,120,81.1,14.7,17,0,0,17,17,17,35.1,63.9,0.0,1020.1,39,1.2,80,0.15
2019-12-31T11:00:00Z,2019-12-31T10:00:00Z,PT60M,21.3,114,54.1,14.9,2,0,0,2,2,2,34.8,66.9,0.0,1020.5,85,0.5,92,0.15
2019-12-31T12:00:00Z,2019-12-31T11:00:00Z,PT60M,21.1,110,50.2,15.3,0,0,0,0,0,0,34.9,69.4,0.0,1021.6,277,0.1,105,0.15
2019-12-31T13:00:00Z,2019-12-31T12:00:00Z,PT60M,21.1,106,40.7,15.4,0,0,0,0,0,0,35.5,70.1,0.0,1022.5,322,0.4,118,0.15
2019-12-31T14:00:00Z,2019-12-31T13:00:00Z,PT60M,20.9,103,47.1,15.4,0,0,0,0,0,0,36.1,70.6,0.0,1023.1,33,0.3,132,0.15
2019-12-31T15:00:00Z,2019-12-31T14:00:00Z,PT60M,20.7,101,47.0,15.5,0,0,0,0,0,0,36.0,72.2,0.0,1023.4,116,0.2,146,0.15
